DID,Date,BW_REQUESTED
235039630,2024-10-12 08:05:00,0.02125
235054776,2024-10-12 08:05:00,20340.7
235038367,2024-10-12 08:05:00,9488.01
235010468,2024-10-12 08:10:00,6.69266
235038808,2024-10-12 08:10:00,249.011
235009876,2024-10-12 08:10:00,5464.74
235038589,2024-10-12 08:10:00,6104.32
235041021,2024-10-12 08:10:00,15363.2
235038367,2024-10-12 08:10:00,9275.23
235038878,2024-10-12 08:10:00,511.923
235010148,2024-10-12 08:10:00,44111.1
235039630,2024-10-12 08:10:00,0.02125
235054776,2024-10-12 08:10:00,2384.61
235038808,2024-10-12 08:15:00,2092.37
235009876,2024-10-12 08:15:00,2777.82
235038589,2024-10-12 08:15:00,1051.52
235041021,2024-10-12 08:15:00,25463.5
235010468,2024-10-12 08:15:00,11.8364
235038878,2024-10-12 08:15:00,1003.89
235010148,2024-10-12 08:15:00,39053.1
235039630,2024-10-12 08:15:00,0.021875
235054776,2024-10-12 08:15:00,7259.07
235038367,2024-10-12 08:15:00,21.3284
235038808,2024-10-12 08:20:00,534.412
235009876,2024-10-12 08:20:00,3777.23
235038589,2024-10-12 08:20:00,1155.4
235041021,2024-10-12 08:20:00,29717.0
235010468,2024-10-12 08:20:00,3.44875
235038878,2024-10-12 08:20:00,747.008
235010148,2024-10-12 08:20:00,30929.7
235039630,2024-10-12 08:20:00,0.02125
235054776,2024-10-12 08:20:00,1600.75
235038367,2024-10-12 08:20:00,16439.2
235010468,2024-10-12 08:25:00,10.1367
235038808,2024-10-12 08:25:00,51.5254
235009876,2024-10-12 08:25:00,3266.91
235038589,2024-10-12 08:25:00,462.999
235041021,2024-10-12 08:25:00,11796.9
235038367,2024-10-12 08:25:00,7960.22
235010148,2024-10-12 08:25:00,38049.5
235039630,2024-10-12 08:25:00,0.02125
235054776,2024-10-12 08:25:00,2734.84
235038878,2024-10-12 08:25:00,547.738
235009876,2024-10-12 08:30:00,6547.92
235010468,2024-10-12 08:30:00,4.86086
235038808,2024-10-12 08:30:00,56.394
235041021,2024-10-12 08:30:00,13141.2
235038589,2024-10-12 08:30:00,2158.72
235038878,2024-10-12 08:30:00,2638.84
235054776,2024-10-12 08:30:00,3557.76
235039630,2024-10-12 08:30:00,0.021875
235038367,2024-10-12 08:30:00,8944.69
235010148,2024-10-12 08:30:00,36936.6
235054776,2024-10-12 08:35:00,2466.06
235039630,2024-10-12 08:35:00,0.021875
235010148,2024-10-12 08:35:00,37812.0
235038878,2024-10-12 08:35:00,2096.21
235038367,2024-10-12 08:35:00,6459.3
235041021,2024-10-12 08:35:00,7699.77
235038589,2024-10-12 08:35:00,3038.49
235009876,2024-10-12 08:35:00,12603.8
235038808,2024-10-12 08:35:00,30.5396
235010468,2024-10-12 08:35:00,4.85326
235038589,2024-10-12 08:40:00,5275.46
235010468,2024-10-12 08:40:00,6.27531
235038808,2024-10-12 08:40:00,28.7985
235009876,2024-10-12 08:40:00,6032.6
235041021,2024-10-12 08:40:00,3858.11
235039630,2024-10-12 08:40:00,0.02
235038878,2024-10-12 08:40:00,9445.29
235010148,2024-10-12 08:40:00,28139.4
235054776,2024-10-12 08:40:00,2693.48
235038367,2024-10-12 08:40:00,2068.08
235010468,2024-10-12 08:45:00,6.47643
235038589,2024-10-12 08:45:00,5417.27
235038808,2024-10-12 08:45:00,255.599
235009876,2024-10-12 08:45:00,26050.2
235041021,2024-10-12 08:45:00,7478.18
235039630,2024-10-12 08:45:00,0.02125
235038878,2024-10-12 08:45:00,3300.03
235010148,2024-10-12 08:45:00,26345.3
235054776,2024-10-12 08:45:00,656.481
235038367,2024-10-12 08:45:00,16.6311
235038589,2024-10-12 08:50:00,1880.41
235038808,2024-10-12 08:50:00,264.119
235009876,2024-10-12 08:50:00,6929.1
235041021,2024-10-12 08:50:00,4977.31
235010468,2024-10-12 08:50:00,35.4781
235038878,2024-10-12 08:50:00,1632.7
235010148,2024-10-12 08:50:00,25792.5
235039630,2024-10-12 08:50:00,0.020625
235054776,2024-10-12 08:50:00,2583.7
235038367,2024-10-12 08:50:00,1864.01
235010468,2024-10-12 08:55:00,236.697
235038808,2024-10-12 08:55:00,196.729
235038589,2024-10-12 08:55:00,755.705
235009876,2024-10-12 08:55:00,21690.9
235041021,2024-10-12 08:55:00,1040.75
235039630,2024-10-12 08:55:00,0.019375
235038878,2024-10-12 08:55:00,2359.32
235054776,2024-10-12 08:55:00,3813.27
235038367,2024-10-12 08:55:00,251.091
235010148,2024-10-12 08:55:00,10475.3
235054776,2024-10-12 09:00:00,7441.67
235039630,2024-10-12 09:00:00,0.019375
235010148,2024-10-12 09:00:00,10.754
235038878,2024-10-12 09:00:00,2812.28
235041021,2024-10-12 09:00:00,7075.27
235038589,2024-10-12 09:00:00,824.406
235009876,2024-10-12 09:00:00,22212.3
